# AI Truck Radio pronunciation overrides for Russian TTS.
# Format: source<TAB>replacement
# Use acute accent for stress: а́ е́ и́ о́ у́ ы́ э́ ю́ я́.
# Важно: "голоса" бывает разным словом:
#   тест го́лоса = одного голоса, ударение на О
#   проверяем голоса́ = много голосов, ударение на А
# Поэтому не делаем глобальную замену "голоса" -> что-то одно.

Дальнобой FM	Дальнобойщик ЭФЭМ
дальнобой FM	Дальнобойщик ЭФЭМ
Дальнобой эф эм	Дальнобойщик ЭФЭМ
FM	ЭФЭМ
AI	эй ай
ETS2	е тэ эс два
Euro Truck Simulator 2	Евро трак симулятор два
тест голоса	тест го́лоса
тембр голоса	тембр го́лоса
звучание голоса	звучание го́лоса
проверяем голоса	проверяем голоса́
проверка голоса	проверка го́лоса
голосА	голоса́
гОлоса	го́лоса
голосам	голоса́м
голосами	голоса́ми

# v056 extra stress hints
радиоэфир	радиоэфи́р
эфир	эфи́р
музыка	му́зыка
дорога зовет	доро́га зовёт
дальнобойщики	дальнобо́йщики
дальнобойщикам	дальнобо́йщикам
голоса ведущих	голоса́ ведущих
голос ведущего	го́лос ведущего

# v057 extra common radio stresses
ведущие	веду́щие
ведущий	веду́щий
радиоведущий	радиоведу́щий
эфире	эфи́ре
эфира	эфи́ра
музыки	му́зыки
музыке	му́зыке
песня	пе́сня
песни	пе́сни
трека	тре́ка
треков	тре́ков
дороге	доро́ге
дорожный	доро́жный
попутчиками	попу́тчиками
рейс	ре́йс
рейса	ре́йса

# v073 extra common stress fixes
на самой	на са́мой
самой	са́мой
самое	са́мое
самый	са́мый
все слушатели	все́ слушатели
всем слушателям	все́м слушателям
все ведущие	все́ веду́щие
все треки	все́ тре́ки
все песни	все́ пе́сни
сейчас	сейча́с
погода	пого́да
погоду	пого́ду
погоде	пого́де
градусов	гра́дусов
градуса	гра́дуса
ветер	ве́тер
город	го́род
городе	го́роде
сегодня	сего́дня
вечером	ве́чером
слушатели	слу́шатели
слушателям	слу́шателям
следующий трек	сле́дующий тре́к
следующим треком	сле́дующим тре́ком
первый трек	пе́рвый тре́к
